occupation,n,cumprop,occupationmatched,ses
editor,266,0.879664485,,1
San Lorenzo hswf,266,0.879877262,,1
housewife R,265,0.880089238,,1
office nurse,265,0.880301215,,1
deputy sheriff,263,0.880511592,,1
fem,258,0.880717969,,1
cooper,256,0.880922746,,1
lumber clerk,256,0.881127524,,1
Medical St,256,0.881332301,,1
Orange St,256,0.881537078,,1
to St,256,0.881741856,,1
urer,256,0.881946633,,1
enog,255,0.882150611,,1
hotel clerk,255,0.882354588,,1
P 0 clerk,254,0.882557766,,1
Poplar St,254,0.882760943,,1
deck hand,253,0.882963321,,1
salesgirl,253,0.883165699,,1
S P employee,252,0.883367276,,1
ship fitter,251,0.883568054,,1
beauty opr,250,0.883768032,,1
maintenance man,250,0.88396801,,1
male engineer,250,0.884167988,,1
shipping,249,0.884367166,,1
R R clerk,248,0.884565544,,1
bootblack,246,0.884762322,,1
hmmkr,246,0.884959101,,1
broom maker,245,0.885155079,,1
av hswf,244,0.885350257,,1
dental technician,244,0.885545436,,1
salesmanager,244,0.885740614,,1
U S Navy,242,0.885934193,,1
city employee,240,0.886126172,,1
marine fireman,240,0.88631815,,1
5th St,238,0.886508529,,1
telephone man,238,0.886698908,,1
hotel keeper,237,0.886888488,,1
Edison Ave,236,0.887077267,,1
riveter,235,0.887265246,,1
furrier,232,0.887450825,,1
R R man,232,0.887636405,,1
paperhanger,231,0.887821185,,1
underwriter,231,0.888005964,,1
bottler,229,0.888189144,,1
cable splicer,229,0.888372324,,1
reg nurse,228,0.888554704,,1
embalmer,227,0.888736284,,1
signalman,227,0.888917863,,1
apt house owner,225,0.889097844,,1
housewife D,225,0.889277824,,1
toolmaker,225,0.889457804,,1
chman,224,0.889636984,,1
coppersmith,224,0.889816164,,1
Holt Ave,222,0.889993745,,1
San Lean hswf,222,0.890171325,,1
finisher,221,0.890348106,,1
Livermore hswf,221,0.890524886,,1
Newark housewife,220,0.890700867,,1
auto salesman,219,0.890876047,,1
carman,219,0.891051228,,1
fem homemaker,219,0.891226409,,1
iron molder,218,0.891400789,,1
U C professor,217,0.89157437,,1
lumber,216,0.891747151,,1
home maker,214,0.891918332,,1
sheetmetal worker,213,0.892088713,,1
cutter,212,0.892258295,,1
fire insurance,212,0.892427876,,1
Mountain Ave,212,0.892597457,,1
woodworker,212,0.892767039,,1
companion,211,0.89293582,,1
assembler,210,0.893103801,,1
importer,210,0.893271783,,1
warehouse man,209,0.893438964,,1
engr,207,0.893604546,,1
oiler,207,0.893770128,,1
6th St,206,0.89393491,,1
business,206,0.894099691,,1
h w,206,0.894264473,,1
janitress,206,0.894429255,,1
Niles hswf,206,0.894594037,,1
ship carpenter,206,0.894758819,,1
business man,205,0.894922801,,1
department manager,205,0.895086782,,1
Ely St,204,0.895249964,,1
hou ewife,204,0.895413146,,1
mail clerk,204,0.895576328,,1
erer,202,0.895737911,,1
forelady,201,0.895898693,,1
Hywd housewife,201,0.896059475,,1
av housewife,200,0.896219457,,1
iceman,200,0.89637944,,1
radio technician,200,0.896539422,,1
Mound St,198,0.896697805,,1
school principal,197,0.896855387,,1
furniture finisher,196,0.89701217,,1
garage,196,0.897168953,,1
Palm Ave,196,0.897325735,,1
proprietor,196,0.897482518,,1
singer,196,0.897639301,,1
locksmith,195,0.897795283,,1
male painter,195,0.897951266,,1
Niles laborer,194,0.898106449,,1
carpet layer,193,0.898260832,,1
Barton Ave,192,0.898414415,,1
boxmaker,192,0.898567998,,1
floor layer,192,0.898721581,,1
fem teacher,191,0.898874364,,1
ins broker,191,0.899027147,,1
Pleasanton housewife,191,0.899179931,,1
R R employee,191,0.899332714,,1
Miner At,190,0.899484697,,1
biller,188,0.89963508,,1
eng,188,0.899785464,,1
mill worker,188,0.899935847,,1
repairman,188,0.90008623,,1
trucker,188,0.900236614,,1
messenger,187,0.900386197,,1
physician and surgeon,187,0.900535781,,1
service manager,187,0.900685364,,1
tendant,187,0.900834948,,1
housemother,186,0.900983731,,1
printing,186,0.901132515,,1
pilot,185,0.901280499,,1
grocery,184,0.901427682,,1
garageman,182,0.901573266,,1
t housewife,181,0.90171805,,1
WPA,181,0.901862834,,1
business woman,180,0.902006818,,1
Eucalyptus Ave,180,0.902150803,,1
housewif,180,0.902294787,,1
housekpr,179,0.902437971,,1
sales,179,0.902581155,,1
peddler,178,0.902723539,,1
telephone employee,178,0.902865924,,1
mgr,177,0.903007508,,1
Creek Rd,176,0.903148292,,1
Decoto housewife,176,0.903289077,,1
metal finisher,176,0.903429861,,1
appraiser,175,0.903569846,,1
ens housewife,175,0.90370983,,1
o housewife,175,0.903849815,,1
radio engineer,175,0.9039898,,1
Mentone Ave,174,0.904128984,,1
man,173,0.904267369,,1
telephone engineer,172,0.904404954,,1
advertiser,169,0.904540139,,1
house mother,169,0.904675324,,1
bridgeman,168,0.904809709,,1
Haywd hswf,168,0.904944094,,1
apt mgr,167,0.905077679,,1
brick mason,166,0.905210465,,1
treasurer,166,0.90534325,,1
Housewife At,164,0.905474436,,1
o farmer,163,0.905604821,,1
towerman,163,0.905735207,,1
maintenance,162,0.905864793,,1
radio service,162,0.905994378,,1
surgeon,162,0.906123964,,1
truckman,162,0.90625355,,1
mech engineer,160,0.906381535,,1
rubber worker,160,0.906509521,,1
window trimmer,160,0.906637507,,1
body builder,159,0.906764693,,1
printing pressman,159,0.906891879,,1
sales mgr,159,0.907019065,,1
4th St,158,0.907145451,,1
ient,158,0.907271837,,1
Kingsley Ave,158,0.907398223,,1
principal,158,0.907524609,,1
Cross Road,156,0.907649396,,1
missionary,156,0.907774182,,1
Pleasanton hswf,155,0.907898168,,1
chemical engineer,152,0.908019755,,1
freight agent,152,0.908141341,,1
Schaefer Ave,152,0.908262928,,1
eno,151,0.908383714,,1
labore r,151,0.908504501,,1
7th St,150,0.908624488,,1
flagman,150,0.908744475,,1
special officer,150,0.908864461,,1
labor,149,0.908983648,,1
meter reader,149,0.909102835,,1
branch manager,148,0.909221222,,1
creamery man,146,0.909338009,,1
male bookkeeper,146,0.909454796,,1
Ramona St,146,0.909571583,,1
signal man,146,0.90968837,,1
tel opr,146,0.909805158,,1
cleaner and dyer,145,0.909921145,,1
aftsman,144,0.910036332,,1
Cedar St,144,0.910151519,,1
Housewife Camp,144,0.910266707,,1
milkman,144,0.910381894,,1
office,144,0.910497081,,1
San Lorenzo housewife,144,0.910612268,,1
grinder,143,0.910726656,,1
Cypress St,142,0.910840243,,1
mortician,142,0.910953831,,1
physician surgeon,142,0.911067418,,1
piano tuner,142,0.911181006,,1
shoe salesman,142,0.911294593,,1
P O employee,141,0.911407381,,1
core maker,140,0.911519368,,1
dietitian,140,0.911631356,,1
polisher,140,0.911743344,,1
wrapper,140,0.911855331,,1
metal polisher,139,0.911966519,,1
poultry,139,0.912077707,,1
a housewife,137,0.912187295,,1
apartment mgr,136,0.912296083,,1
sewing,135,0.912404071,,1
Antonio Ave,134,0.912511259,,1
Manning St,134,0.912618447,,1
Wilson Ave,134,0.912725635,,1
compositor,133,0.912832023,,1
Irvington housewife,133,0.912938412,,1
Eucalyptus St,132,0.913044,,1
Francisco St,132,0.913149588,,1
Grand Ave,132,0.913255177,,1
ship joiner,132,0.913360765,,1
Walnut St,132,0.913466353,,1
lumber man,131,0.913571142,,1
o hswf,131,0.91367593,,1
soldier,131,0.913780719,,1
yman,131,0.913885507,,1
8th St,130,0.913989496,,1
car washer,130,0.914093484,,1
Crafton Ave,130,0.914197473,,1
Cypress Ave,130,0.914301461,,1
dealer,129,0.91440465,,1
housewifee,129,0.914507838,,1
miller,129,0.914611027,,1
office mgr,129,0.914714216,,1
ress,129,0.914817404,,1
San Lorenzo farmer,129,0.914920593,,1
wood worker,129,0.915023781,,1
male plumber,128,0.91512617,,1
Ohio St,128,0.915228559,,1
usherette,127,0.915330148,,1
window cleaner,127,0.915431736,,1
Hywd poultryman,126,0.915532525,,1
sign writer,126,0.915633314,,1
furniture dealer,125,0.915733303,,1
lab technician,125,0.915833292,,1
U S Army,125,0.915933281,,1
25th St,124,0.91603247,,1
metalsmith,124,0.916131659,,1
shop foreman,124,0.916230848,,1
Turner Ave,124,0.916330037,,1
hsewife,123,0.916428426,,1
er housewife,122,0.916526016,,1
Nevada St,122,0.916623605,,1
assemblyman,121,0.916720394,,1
civil engr,121,0.916817183,,1
officer,121,0.916913973,,1
retired soldier,121,0.917010762,,1
saw filer,121,0.917107551,,1
tool and die maker,121,0.917204341,,1
udent nurse,121,0.91730113,,1
9th St,120,0.917397119,,1
Newark hswf,120,0.917493109,,1
paint maker,120,0.917589098,,1
Phillips St,120,0.917685088,,1
sheet metal wkr,120,0.917781077,,1
warehouse foreman,120,0.917877066,,1
inventor,119,0.917972256,,1
paper hanger,119,0.918067445,,1
sales agent,119,0.918162635,,1
bond salesman,118,0.918257024,,1
Church St,118,0.918351414,,1
Creek Road,118,0.918445804,,1
fem housekeeper,118,0.918540193,,1
junior clerk,118,0.918634583,,1
S P clerk,118,0.918728972,,1
ship caulker,118,0.918823362,,1
civil eng,117,0.918916952,,1
mfgr,117,0.919010541,,1
nursing,117,0.919104131,,1
radio,117,0.919197721,,1
veterinarian,117,0.91929131,,1
y,117,0.9193849,,1
coremaker,116,0.91947769,,1
Etiwanda Ave,116,0.919570479,,1
Pepper Ave,116,0.919663269,,1
Tamarind St,116,0.919756059,,1
bookkpr,115,0.919848049,,1
hotelkeeper,115,0.919940039,,1
shingler,115,0.920032028,,1
trucking,115,0.920124018,,1
wire worker,115,0.920216008,,1
general manager,114,0.920307198,,1
housekeeping,114,0.920398388,,1
car repairer,113,0.920488778,,1
Hswf,113,0.920579168,,1
iron moulder,113,0.920669558,,1
lumber handler,113,0.920759948,,1
mailman,113,0.920850338,,1
s housewife,113,0.920940728,,1
tanner,113,0.921031118,,1
textile worker,113,0.921121508,,1
Cole St,112,0.921211098,,1
creamery,112,0.921300688,,1
news agent,112,0.921390279,,1
Palmetto St,112,0.921479869,,1
telephone,112,0.921569459,,1
title insurance,112,0.921659049,,1
warehouse,112,0.921748639,,1
display man,111,0.921837429,,1
orekeeper,111,0.921926219,,1
bakery salesman,110,0.92201421,,1
captain,110,0.9221022,,1
Juniper St,110,0.92219019,,1
mach,110,0.92227818,,1
male manager,110,0.922366171,,1
businessman,109,0.922453361,,1
Barton St,108,0.922539752,,1
Pepper St,108,0.922626142,,1
radio man,108,0.922712533,,1
fruit buyer,107,0.922798123,,1
mfg agent,107,0.922883714,,1
payroll clerk,107,0.922969304,,1
safety engineer,107,0.923054895,,1
San Lor hswf,107,0.923140485,,1
WPA worker,107,0.923226076,,1
Holt St,106,0.923310866,,1
home executive,106,0.923395657,,1
Newark laborer,106,0.923480448,,1
Telephone Ave,106,0.923565238,,1
traffic officer,106,0.923650029,,1
brewer,105,0.92373402,,1
Niles farmer,105,0.92381801,,1
tchr,105,0.923902001,,1
business manager,104,0.923985192,,1
elec engineer,104,0.924068383,,1
freight clerk,104,0.924151574,,1
Housewife Ave,104,0.924234764,,1
oil business,104,0.924317955,,1
s,104,0.924401146,,1
horseman,103,0.924483537,,1
machine opr,103,0.924565928,,1
repair man,103,0.924648319,,1
aircraft mechanic,102,0.92472991,,1
compt opr,102,0.924811501,,1
fem clerk,102,0.924893092,,1
fem none,102,0.924974683,,1
hsewfe,102,0.925056274,,1
marine engr,102,0.925137865,,1
marker,102,0.925219456,,1
Palmetto Ave,102,0.925301047,,1
Pleasanton laborer,102,0.925382638,,1
Washington St,102,0.925464229,,1
cleaning and dyeing,101,0.92554502,,1
comptometer,101,0.925625811,,1
credit mgr,101,0.925706602,,1
dept mgr,101,0.925787393,,1
traffic clerk,101,0.925868184,,1
Mrs St,100,0.925948175,,1
Pine Ave,100,0.926028166,,1
housewife I,99,0.926107358,,1
office man,99,0.926186549,,1
retired farmer,99,0.92626574,,1
Alder St,98,0.926344132,,1
engineering,98,0.926422523,,1
hodcarrier,98,0.926500914,,1
ice cream maker,98,0.926579306,,1
Philadelphia St,98,0.926657697,,1
to at,98,0.926736088,,1
e,97,0.92681368,,1
freight handler,97,0.926891271,,1
passenger agent,97,0.926968863,,1
cafe owner,96,0.927045654,,1
consulting engineer,96,0.927122446,,1
farming,96,0.927199237,,1
pensioner,96,0.927276029,,1
plumbing,96,0.92735282,,1
saleman,96,0.927429612,,1
sea captain,96,0.927506403,,1
special agent,96,0.927583195,,1
Taylor St,96,0.927659986,,1
Vine St,96,0.927736778,,1
mech,95,0.927812769,,1
trained nurse,95,0.927888761,,1
5th Ave,94,0.927963953,,1
automobile dealer,94,0.928039144,,1
cannery,94,0.928114336,,1
car builder,94,0.928189528,,1
dishwasher,94,0.92826472,,1
fisherman,94,0.928339911,,1
Lugonia Ave,94,0.928415103,,1
Magnolia Ave,94,0.928490295,,1
male butcher,94,0.928565486,,1
sausage maker,94,0.928640678,,1
Spruce St,94,0.92871587,,1
baker's helper,93,0.928790262,,1
brewery worker,93,0.928864653,,1
candymaker,93,0.928939045,,1
dental mechanic,93,0.929013437,,1
Tel Co employee,93,0.929087829,,1
Benito Ave,92,0.929161421,,1
boilermaker helper,92,0.929235012,,1
interviewer,92,0.929308604,,1
Manning Ave,92,0.929382196,,1
Mentone Blvd,92,0.929455788,,1
Rosa Ave,92,0.92952938,,1
express messenger,91,0.929602172,,1
ship worker,91,0.929674964,,1
Housewife Highway,90,0.929746956,,1
locomotive engr,90,0.929818948,,1
machine hand,90,0.92989094,,1
male printer,90,0.929962932,,1
Mill St,90,0.930034924,,1
Oleander St,90,0.930106916,,1
tire business,90,0.930178908,,1
Washington Drive,90,0.9302509,,1
a av hswf,89,0.930322092,,1
canner,89,0.930393285,,1
fruit merchant,89,0.930464477,,1
grocery manager,89,0.930535669,,1
houscwife,89,0.930606861,,1
housewifc,89,0.930678053,,1
ic,89,0.930749245,,1
loco engineer,89,0.930820437,,1
male fireman,89,0.93089163,,1
ship clerk,89,0.930962822,,1
Alabama St,88,0.931033214,,1
bank employee,88,0.931103606,,1
bank manager,88,0.931173998,,1
Hywd laborer,88,0.931244391,,1
Main St,88,0.931314783,,1
Mango St,88,0.931385175,,1
mechanical engr,88,0.931455567,,1
mfg,88,0.93152596,,1
gas fitter,87,0.931595552,,1
Hywd farmer,87,0.931665144,,1
San Lorenzo laborer,87,0.931734736,,1
secy,87,0.931804329,,1
Colton St,86,0.931873121,,1
Kingsley St,86,0.931941914,,1
kitchen helper,86,0.932010706,,1
Marigold St,86,0.932079498,,1
sexton,86,0.932148291,,1
broommaker,85,0.932216283,,1
bakery,84,0.932283476,,1
dining car waiter,84,0.932350668,,1
grad nurse,84,0.932417861,,1
ice man,84,0.932485054,,1
Larch St,84,0.932552246,,1
linoleum layer,84,0.932619439,,1
lumber business,84,0.932686631,,1
naval officer,84,0.932753824,,1
shipworker,84,0.932821017,,1
shoe repairer,84,0.932888209,,1
telephone repairman,84,0.932955402,,1
entertainer,83,0.933021794,,1
fern,83,0.933088187,,1
floorman,83,0.93315458,,1
jobber,83,0.933220972,,1
pullman porter,83,0.933287365,,1
S P Co,83,0.933353758,,1
ticket clerk,83,0.93342015,,1
wholesale grocer,83,0.933486543,,1
auto business,82,0.933552136,,1
Boyle Ave,82,0.933617729,,1
hotel man,82,0.933683321,,1
proofreader,82,0.933748914,,1
research,82,0.933814507,,1
Alvarado hswf,81,0.9338793,,1
chief engineer,81,0.933944093,,1
credit clerk,81,0.934008885,,1
floor manager,81,0.934073678,,1
houswife,81,0.934138471,,1
male accountant,81,0.934203264,,1
professor U C,81,0.934268057,,1
Alvarado housewife,80,0.93433205,,1
Arrow Highway,80,0.934396043,,1
brick layer,80,0.934460036,,1
Canyon Rd,80,0.934524029,,1
clerk S P Co,80,0.934588021,,1
Colton Blvd,80,0.934652014,,1
Edison St,80,0.934716007,,1
garage proprietor,80,0.93478,,1
marine eng,80,0.934843993,,1
masseur,80,0.934907986,,1
merchant tailor,80,0.934971979,,1
Sierra Ave,80,0.935035972,,1
automobile,79,0.935099165,,1
er mariner,79,0.935162358,,1
furniture,79,0.935225551,,1
h wf,79,0.935288744,,1
housewf,79,0.935351937,,1
news dealer,79,0.93541513,,1
Archibald St,78,0.935477523,,1
furniture business,78,0.935539916,,1
ins agent,78,0.93560231,,1
Mission Rd,78,0.935664703,,1
tree surgeon,78,0.935727096,,1
building manager,77,0.935788689,,1
corsetiere,77,0.935850282,,1
deputy assessor,77,0.935911875,,1
fancy presser,77,0.935973469,,1
fern homemaker,77,0.936035062,,1
houseman,77,0.936096655,,1
male motorman,77,0.936158248,,1
o retired,77,0.936219841,,1
ockman,77,0.936281435,,1
pumper,77,0.936343028,,1
purchasing agt,77,0.936404621,,1
time checker,77,0.936466214,,1
Barton Rd,76,0.936527007,,1
billing clerk,76,0.936587801,,1
fem bookkeeper,76,0.936648594,,1
Merrill St,76,0.936709387,,1
Randall St,76,0.936770181,,1
fem nurse,75,0.936830174,,1
housewife e,75,0.936890167,,1
mailer,75,0.936950161,,1
masseuse,75,0.937010154,,1
ove mounter,75,0.937070147,,1
soap maker,75,0.937130141,,1
social wkr,75,0.937190134,,1
worker,75,0.937250128,,1
author,74,0.937309321,,1
bookkeeping,74,0.937368515,,1
car man,74,0.937427708,,1
caulker,74,0.937486901,,1
Centerville hswf,74,0.937546095,,1
coal dealer,74,0.937605288,,1
housewife l,74,0.937664482,,1
meter man,74,0.937723675,,1
Phillips Ave,74,0.937782869,,1
S P brakeman,74,0.937842062,,1
Sixth St,74,0.937901256,,1
telephone company,74,0.937960449,,1
dancer,73,0.938018843,,1
floorlady,73,0.938077236,,1
insurance underwriter,73,0.93813563,,1
